cdmTableName,cdmFieldName,checkName,Threshold,checkParameter,checkParameter_conceptId,checkParameter_conceptName,checkParameter_unitConceptId,checkParameter_unitConceptName,Notes
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2003947,Closed [percutaneous] [needle] biopsy of prostate,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2003966,Other transurethral prostatectomy,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2003983,Other prostatectomy,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2004031,Other repair of scrotum and tunica vaginalis,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2004063,Unilateral orchiectomy,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2004070,Other repair of testis,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2004090,Excision of varicocele and hydrocele of spermatic cord,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2004164,Local excision or destruction of lesion of penis,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2004263,Other removal of both ovaries and tubes at same operative episode,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2004329,Other bilateral destruction or occlusion of fallopian tubes,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2004342,Removal of both fallopian tubes at same operative episode,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2004443,Closed biopsy of uterus,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2004627,Vaginal suspension and fixation,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109825,"Transurethral electrosurgical resection of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, and internal urethrotomy are included)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109833,"Laser vaporization of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, internal urethrotomy and transurethral resection of prostate are included if performed)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109900,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; chemical",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109902,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; cryosurgery",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109905,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), extensive (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109906,"Biopsy of penis, (separate procedure)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109916,"Circumcision, using clamp or other device with regional dorsal penile or ring block",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109968,Foreskin manipulation including lysis of preputial adhesions and stretching,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109973,"Orchiectomy, simple (including subcapsular), with or without testicular prosthesis, scrotal or inguinal approach",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2109981,"Orchiopexy, inguinal approach, with or without hernia repair",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2110004,Drainage of scrotal wall abscess,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2110011,"Vasectomy, unilateral or bilateral (separate procedure), including postoperative semen examination(s)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2110026,"Biopsy, prostate; needle or punch, single or multiple, any approach",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2110039,"Prostatectomy, retropubic radical, with or without nerve sparing; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric, and obturator nodes",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Male,2110044,"Laparoscopy, surgical prostatectomy, retropubic radical, including nerve sparing, includes robotic assistance, when performed",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110078,Colposcopy of the vulva,,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110116,"Colpopexy, vaginal; extra-peritoneal approach (sacrospinous, iliococcygeus)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110142,"Laparoscopy, surgical, colpopexy (suspension of vaginal apex)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110144,"Colposcopy of the cervix including upper/adjacent vagina, with biopsy(s) of the cervix and endocervical curettage",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110169,"Endometrial sampling (biopsy) with or without endocervical sampling (biopsy), without cervical dilation, any method (separate procedure)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110175,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s)",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110194,Insertion of intrauterine device (IUD),,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110195,Removal of intrauterine device (IUD),,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110203,"Endometrial ablation, thermal, without hysteroscopic guidance",,,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,plausibleGender,5,Female,2110222,"Hysteroscopy, surgical; with sampling (biopsy) of endometrium and/or polypectomy, with or without D & C",,,
